dataset,#TrainingRelease,%Training,%Defective in Training,%Defective in Testing,Classifier,FeatureSelection,Balancing,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,5,73,46,72,NaiveBayes,No FS,UnderSampling,150.0,11.0,178.0,350.0,0.8323597883597884,0.15521568867197189,0.9316770186335404,0.3
BOOKKEEPER,5,73,46,72,RandomForest,No FS,UnderSampling,251.0,13.0,176.0,249.0,0.8832592592592593,0.31203981768014766,0.9507575757575758,0.502
BOOKKEEPER,5,73,46,72,IBK,No FS,UnderSampling,264.0,18.0,171.0,236.0,0.7734338624338625,0.31850715348250375,0.9361702127659575,0.528
BOOKKEEPER,5,73,46,72,NaiveBayes,No FS,OverSampling,160.0,10.0,179.0,340.0,0.8255661375661376,0.1730960463601139,0.9411764705882353,0.32
BOOKKEEPER,5,73,46,72,RandomForest,No FS,OverSampling,253.0,17.0,172.0,247.0,0.8714708994708995,0.3018232065405136,0.937037037037037,0.506
BOOKKEEPER,5,73,46,72,IBK,No FS,OverSampling,265.0,22.0,167.0,235.0,0.6992645502645503,0.30625717453563855,0.9233449477351916,0.53
BOOKKEEPER,5,73,46,72,NaiveBayes,No FS,Smote,160.0,11.0,178.0,340.0,0.846042328042328,0.16984817330829777,0.935672514619883,0.32
BOOKKEEPER,5,73,46,72,RandomForest,No FS,Smote,265.0,11.0,178.0,235.0,0.9091005291005291,0.3447329353910866,0.9601449275362319,0.53
BOOKKEEPER,5,73,46,72,IBK,No FS,Smote,274.0,12.0,177.0,226.0,0.7354814814814815,0.35832739851459966,0.958041958041958,0.548
BOOKKEEPER,5,73,46,72,NaiveBayes,BF,No Sampling,320.0,23.0,355.0,680.0,0.7628201058201058,0.16822163492333347,0.9329446064139941,0.32
BOOKKEEPER,5,73,46,72,RandomForest,BF,No Sampling,417.0,22.0,356.0,583.0,0.783989417989418,0.24548980851483604,0.9498861047835991,0.417
BOOKKEEPER,5,73,46,72,IBK,BF,No Sampling,431.0,22.0,356.0,569.0,0.7181137566137566,0.2570947443702712,0.9514348785871964,0.431
BOOKKEEPER,5,73,46,72,NaiveBayes,BF,UnderSampling,172.0,13.0,176.0,328.0,0.7831058201058201,0.1812625233042357,0.9297297297297298,0.344
BOOKKEEPER,5,73,46,72,RandomForest,BF,UnderSampling,251.0,14.0,175.0,249.0,0.8352592592592593,0.3085945399393326,0.9471698113207547,0.502
BOOKKEEPER,5,73,46,72,IBK,BF,UnderSampling,269.0,24.0,165.0,231.0,0.8381269841269842,0.30658662783125545,0.9180887372013652,0.538
BOOKKEEPER,5,73,46,72,NaiveBayes,BF,OverSampling,172.0,13.0,176.0,328.0,0.7913015873015873,0.1812625233042357,0.9297297297297298,0.344
BOOKKEEPER,5,73,46,72,RandomForest,BF,OverSampling,249.0,13.0,176.0,251.0,0.8504550264550265,0.3084275600909444,0.950381679389313,0.498
BOOKKEEPER,5,73,46,72,IBK,BF,OverSampling,378.0,20.0,169.0,122.0,0.8661693121693121,0.5567365283025707,0.949748743718593,0.756
BOOKKEEPER,5,73,46,72,NaiveBayes,BF,Smote,174.0,13.0,176.0,326.0,0.7857566137566138,0.1842964556493437,0.93048128342246,0.348
BOOKKEEPER,5,73,46,72,RandomForest,BF,Smote,265.0,19.0,170.0,235.0,0.8388677248677249,0.31685247642245956,0.9330985915492958,0.53
BOOKKEEPER,5,73,46,72,IBK,BF,Smote,321.0,11.0,178.0,179.0,0.8764179894179894,0.45736337710571695,0.9668674698795181,0.642
