dataset,#TrainingRelease,%Training,%Defective in Training,%Defective in Testing,Classifier,FeatureSelection,Balancing,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
SYNCOPE,6,85,42,67,IBK,No FS,No Sampling,197.0,51.0,130.0,180.0,0.6475079502322787,0.20314296665389045,0.7943548387096774,0.5225464190981433
SYNCOPE,6,85,42,67,NaiveBayes,No FS,UnderSampling,124.0,15.0,166.0,253.0,0.6330876210853349,0.18336409606710283,0.8920863309352518,0.32891246684350134
SYNCOPE,6,85,42,67,RandomForest,No FS,UnderSampling,200.0,52.0,129.0,177.0,0.6495742778844322,0.20619478922061935,0.7936507936507936,0.5305039787798409
SYNCOPE,6,85,42,67,IBK,No FS,UnderSampling,215.0,63.0,118.0,162.0,0.6312337881208142,0.19456241419571724,0.7733812949640287,0.5702917771883289
SYNCOPE,6,85,42,67,NaiveBayes,No FS,OverSampling,133.0,13.0,168.0,244.0,0.6700470419274001,0.21097111416781297,0.910958904109589,0.35278514588859416
SYNCOPE,6,85,42,67,RandomForest,No FS,OverSampling,189.0,53.0,128.0,188.0,0.6524905842871169,0.1746474032430309,0.78099173553719,0.5013262599469496
SYNCOPE,6,85,42,67,IBK,No FS,OverSampling,206.0,63.0,118.0,171.0,0.6259287483330158,0.17171819692721488,0.7657992565055762,0.5464190981432361
SYNCOPE,6,85,42,67,NaiveBayes,No FS,Smote,136.0,16.0,165.0,241.0,0.6452877471166669,0.20583251187878657,0.8947368421052632,0.36074270557029176
SYNCOPE,6,85,42,67,RandomForest,No FS,Smote,197.0,51.0,130.0,180.0,0.65105441329484,0.20314296665389045,0.7943548387096774,0.5225464190981433
SYNCOPE,6,85,42,67,IBK,No FS,Smote,200.0,52.0,129.0,177.0,0.6479402670105661,0.20619478922061935,0.7936507936507936,0.5305039787798409
SYNCOPE,6,85,42,67,NaiveBayes,BF,No Sampling,181.0,20.0,342.0,573.0,0.6121733810103023,0.13227704701365725,0.900497512437811,0.24005305039787797
SYNCOPE,6,85,42,67,RandomForest,BF,No Sampling,214.0,41.0,321.0,540.0,0.59208530562598,0.12556641636457797,0.8392156862745098,0.2838196286472148
SYNCOPE,6,85,42,67,IBK,BF,No Sampling,256.0,59.0,303.0,498.0,0.5978299895950877,0.13422583233052557,0.8126984126984127,0.3395225464190981
SYNCOPE,6,85,42,67,NaiveBayes,BF,UnderSampling,69.0,8.0,173.0,308.0,0.5234183800577399,0.09702264510380285,0.8961038961038961,0.1830238726790451
SYNCOPE,6,85,42,67,RandomForest,BF,UnderSampling,206.0,52.0,129.0,171.0,0.6567697876518604,0.22130439680096106,0.7984496124031008,0.5464190981432361
SYNCOPE,6,85,42,67,IBK,BF,UnderSampling,210.0,63.0,118.0,167.0,0.6446429356507467,0.18180774968442795,0.7692307692307693,0.5570291777188329
SYNCOPE,6,85,42,67,NaiveBayes,BF,OverSampling,56.0,7.0,174.0,321.0,0.5214399812418483,0.07572038905554042,0.8888888888888888,0.14854111405835543
SYNCOPE,6,85,42,67,RandomForest,BF,OverSampling,166.0,40.0,141.0,211.0,0.6382314580066533,0.17608094593799645,0.8058252427184466,0.4403183023872679
SYNCOPE,6,85,42,67,IBK,BF,OverSampling,179.0,56.0,125.0,198.0,0.6337690695663643,0.13738999184448536,0.7617021276595745,0.47480106100795755
SYNCOPE,6,85,42,67,NaiveBayes,BF,Smote,95.0,15.0,166.0,282.0,0.5224218532467723,0.12224187790642242,0.8636363636363636,0.2519893899204244
SYNCOPE,6,85,42,67,RandomForest,BF,Smote,193.0,49.0,132.0,184.0,0.6597300584726761,0.2020449998158764,0.7975206611570248,0.5119363395225465
SYNCOPE,6,85,42,67,IBK,BF,Smote,199.0,51.0,130.0,178.0,0.6556193853774346,0.2081231486186681,0.796,0.5278514588859416
SYNCOPE,7,87,45,66,NaiveBayes,No FS,No Sampling,137.0,9.0,177.0,235.0,0.8302838478436814,0.245360824742268,0.9383561643835616,0.3682795698924731
SYNCOPE,7,87,45,66,RandomForest,No FS,No Sampling,196.0,31.0,155.0,176.0,0.8146606544109145,0.3014623172103487,0.8634361233480177,0.5268817204301075
SYNCOPE,7,87,45,66,IBK,No FS,No Sampling,196.0,32.0,154.0,176.0,0.8016172389871662,0.29729729729729737,0.8596491228070176,0.5268817204301075
SYNCOPE,7,87,45,66,NaiveBayes,No FS,UnderSampling,139.0,9.0,177.0,233.0,0.8281448722395652,0.25,0.9391891891891891,0.3736559139784946
SYNCOPE,7,87,45,66,RandomForest,No FS,UnderSampling,212.0,36.0,150.0,160.0,0.8026216903688288,0.32258064516129037,0.8548387096774194,0.5698924731182796
SYNCOPE,7,87,45,66,IBK,No FS,UnderSampling,223.0,41.0,145.0,149.0,0.7924254249046132,0.33098591549295775,0.8446969696969697,0.5994623655913979
